DriverNo,Driver,Race,Year,NumStintsUsed,MeanLap_s,StdLap_s,FastestLap_s,LapsUsedTotal
63,RUS,Emilia Romagna Grand Prix,2025,3,81.40123611111112,0.5195684239508541,79.733,47
55,SAI,Emilia Romagna Grand Prix,2025,3,81.4946943236715,0.5213648217829152,79.836,46
6,HAD,Emilia Romagna Grand Prix,2025,3,81.11979282051283,0.41930683385020623,79.473,47
22,TSU,Emilia Romagna Grand Prix,2025,2,81.79697826086957,0.4906635467152203,80.039,46
14,ALO,Emilia Romagna Grand Prix,2025,3,81.44894598765433,0.44626866593817044,79.894,44
27,HUL,Emilia Romagna Grand Prix,2025,2,81.91685869565218,0.5009851240992245,80.401,47
10,GAS,Emilia Romagna Grand Prix,2025,3,81.7406968456948,0.44179553456841636,80.398,45
30,LAW,Emilia Romagna Grand Prix,2025,3,81.83266787439614,0.41285888856071723,80.473,45
18,STR,Emilia Romagna Grand Prix,2025,3,81.75089316239315,0.43570656210875214,80.501,45
43,COL,Emilia Romagna Grand Prix,2025,3,81.77061546840959,0.5249556264815199,80.345,44
87,BEA,Emilia Romagna Grand Prix,2025,2,81.48849727272727,0.6131542004862228,79.521,47
5,BOR,Emilia Romagna Grand Prix,2025,4,81.78983974358974,0.4306306441060593,80.63,45
12,ANT,Emilia Romagna Grand Prix,2025,2,81.67716987179487,0.42145432248077963,80.62,38
31,OCO,Emilia Romagna Grand Prix,2025,1,82.28742857142856,0.43672412017526113,81.423,21
4,NOR,Monaco Grand Prix,2025,3,75.41515144742444,0.8277495406990741,73.221,64
16,LEC,Monaco Grand Prix,2025,3,75.31401587301586,0.6932219841261479,74.055,62
81,PIA,Monaco Grand Prix,2025,3,75.44509259259259,0.8699820783296048,73.745,63
1,VER,Monaco Grand Prix,2025,2,75.63918414322251,0.8448265597707738,74.23,63
44,HAM,Monaco Grand Prix,2025,3,75.86135087719299,0.8748103592578397,74.09,61
6,HAD,Monaco Grand Prix,2025,3,77.04130666666667,0.47626444510944105,76.044,54
31,OCO,Monaco Grand Prix,2025,3,77.05368089430895,0.6463345656394422,75.157,53
30,LAW,Monaco Grand Prix,2025,3,76.4467411764706,0.44405205247908847,75.321,49
23,ALB,Monaco Grand Prix,2025,3,76.1584696969697,0.5116916432836459,74.597,37
55,SAI,Monaco Grand Prix,2025,3,75.66375,0.6510571351677111,73.988,34
63,RUS,Monaco Grand Prix,2025,3,75.45464285714286,0.8415196643262556,73.405,28
87,BEA,Monaco Grand Prix,2025,2,76.57374537037037,1.2538540539786234,74.855,31
43,COL,Monaco Grand Prix,2025,2,77.09656818181818,0.9675238607803012,75.298,29
5,BOR,Monaco Grand Prix,2025,3,76.80902676767676,1.1040372438901465,74.97,34
18,STR,Monaco Grand Prix,2025,2,76.74755965909091,0.7751872646701936,74.877,27
27,HUL,Monaco Grand Prix,2025,2,77.24853365384615,0.6915137749154434,75.223,29
22,TSU,Monaco Grand Prix,2025,1,77.25094736842105,0.9966564923496426,75.32,19
12,ANT,Monaco Grand Prix,2025,2,75.71145833333334,0.9942428127046503,73.518,14
14,ALO,Monaco Grand Prix,2025,2,76.62739705882353,0.7231494587081786,75.593,21
81,PIA,Spanish Grand Prix,2025,4,78.84152083333333,0.4458080520055767,75.933,47
4,NOR,Spanish Grand Prix,2025,4,79.04302083333334,0.3338210538850981,76.214,48
16,LEC,Spanish Grand Prix,2025,4,79.69993611111111,0.3911466621372543,77.259,39
63,RUS,Spanish Grand Prix,2025,3,79.24369595959597,0.3762390764505488,77.244,34
27,HUL,Spanish Grand Prix,2025,2,79.2245,0.44103036028450543,77.575,10
44,HAM,Spanish Grand Prix,2025,3,79.31598611111112,0.47859156447722695,77.706,35
6,HAD,Spanish Grand Prix,2025,3,79.67356078431372,0.2078359621057472,77.77,25
10,GAS,Spanish Grand Prix,2025,2,79.63329999999999,0.3878649558224905,77.896,14
14,ALO,Spanish Grand Prix,2025,3,79.95859444444444,0.3556602593613463,78.128,15
1,VER,Spanish Grand Prix,2025,5,79.44208615384616,0.5251850625631657,77.019,44
30,LAW,Spanish Grand Prix,2025,2,80.55292424242424,0.2560303828644444,79.424,14
5,BOR,Spanish Grand Prix,2025,2,80.42525,0.2678668471353115,79.386,10
22,TSU,Spanish Grand Prix,2025,3,80.13126785714286,0.34938436904944137,79.133,19
55,SAI,Spanish Grand Prix,2025,2,80.297,0.363855111039477,79.317,17
43,COL,Spanish Grand Prix,2025,2,80.32318055555555,0.30588490592242246,79.978,13
31,OCO,Spanish Grand Prix,2025,2,80.3308888888889,0.3587421846493689,78.624,12
87,BEA,Spanish Grand Prix,2025,2,80.16941666666666,0.44689598313682033,78.907,16
12,ANT,Spanish Grand Prix,2025,2,79.64154545454545,0.3619589505257632,78.255,24
23,ALB,Spanish Grand Prix,2025,1,80.7595,0.3556747109368335,80.508,2
63,RUS,Canadian Grand Prix,2025,3,75.65224567901235,0.3433469410704791,74.119,60
1,VER,Canadian Grand Prix,2025,3,75.76532666206579,0.3206116242686399,74.287,60
12,ANT,Canadian Grand Prix,2025,3,75.76736187269522,0.393841537618874,74.455,59
81,PIA,Canadian Grand Prix,2025,3,75.69119487179488,0.3358809264010081,74.255,59
16,LEC,Canadian Grand Prix,2025,3,75.66622690821255,0.46335231817066136,74.261,60
44,HAM,Canadian Grand Prix,2025,3,76.19079808317089,0.4339134392341935,74.805,58
14,ALO,Canadian Grand Prix,2025,3,76.53704067460318,0.5847527167233015,75.024,58
27,HUL,Canadian Grand Prix,2025,2,77.08967613636364,0.574472251246751,75.372,60
31,OCO,Canadian Grand Prix,2025,2,76.05024999999999,0.34546663481049766,74.593,60
55,SAI,Canadian Grand Prix,2025,2,76.0428434065934,0.42480031384582995,74.389,59
87,BEA,Canadian Grand Prix,2025,2,77.35796103896104,0.6870026674067852,75.397,58
22,TSU,Canadian Grand Prix,2025,2,76.82021703296704,0.712584993036613,75.358,59
43,COL,Canadian Grand Prix,2025,2,77.42653339517625,0.4577921920417152,76.076,60
5,BOR,Canadian Grand Prix,2025,2,76.86491396103895,0.5165193367155354,75.414,58
10,GAS,Canadian Grand Prix,2025,2,76.64436085343227,0.6745673786675322,74.993,60
6,HAD,Canadian Grand Prix,2025,2,77.48119897959182,0.5956727366213017,76.292,59
18,STR,Canadian Grand Prix,2025,3,76.655879048583,0.4436786916541458,74.902,56
4,NOR,Canadian Grand Prix,2025,3,75.40804451566952,0.2920680533533156,74.229,60
30,LAW,Canadian Grand Prix,2025,2,77.57484162895929,0.5148730252864453,76.32,47
23,ALB,Canadian Grand Prix,2025,2,77.35722777777778,0.5748545402842404,76.197,38
4,NOR,Austrian Grand Prix,2025,3,69.65604822796935,0.49657513814149595,68.272,60
81,PIA,Austrian Grand Prix,2025,3,69.63975982905983,0.6046406212391268,67.924,60
16,LEC,Austrian Grand Prix,2025,3,69.90829507101087,0.3785647809348991,68.765,60
44,HAM,Austrian Grand Prix,2025,3,70.0712566137566,0.3998151823636187,68.628,60
63,RUS,Austrian Grand Prix,2025,3,70.68530871423263,0.3736291961840246,69.532,60
30,LAW,Austrian Grand Prix,2025,2,70.95639833333334,0.3362685165483026,69.977,61
14,ALO,Austrian Grand Prix,2025,2,71.02421949891068,0.3781151997184664,69.935,61
5,BOR,Austrian Grand Prix,2025,3,70.68810046296296,0.4229934312798626,69.247,59
27,HUL,Austrian Grand Prix,2025,3,70.91165368606703,0.4677018574375329,69.459,59
31,OCO,Austrian Grand Prix,2025,3,70.82907983193279,0.4676934705805031,69.55,59
87,BEA,Austrian Grand Prix,2025,3,71.07594518518518,0.385093759775983,69.96,57
6,HAD,Austrian Grand Prix,2025,2,71.451009569378,0.5529225775803923,70.204,60
10,GAS,Austrian Grand Prix,2025,3,71.18200054734537,0.5056076619569684,70.151,57
18,STR,Austrian Grand Prix,2025,3,70.91181547619047,0.5075978236025723,69.276,54
43,COL,Austrian Grand Prix,2025,3,71.18662037037036,0.5316848863183188,69.621,55
22,TSU,Austrian Grand Prix,2025,4,71.01451100427349,0.5756645838421485,69.806,52
23,ALB,Austrian Grand Prix,2025,1,71.10024999999999,0.30825070965043866,70.641,8
4,NOR,British Grand Prix,2025,1,90.14733333333334,0.3321642164151143,89.734,6
81,PIA,British Grand Prix,2025,1,90.66728571428573,1.0628462909072207,89.337,7
27,HUL,British Grand Prix,2025,1,91.54214285714286,0.6334930750927523,90.933,7
44,HAM,British Grand Prix,2025,1,91.53450000000001,1.3370445018771815,90.016,8
1,VER,British Grand Prix,2025,1,91.515375,1.2924150082583459,90.179,8
10,GAS,British Grand Prix,2025,1,91.48371428571429,0.7132422950362436,90.751,7
18,STR,British Grand Prix,2025,1,92.80314285714284,0.6274587446123282,92.088,7
23,ALB,British Grand Prix,2025,1,91.21837500000001,1.652662608165553,90.047,8
14,ALO,British Grand Prix,2025,1,91.524125,1.0794197432615649,90.353,8
63,RUS,British Grand Prix,2025,1,91.478,0.507512233021696,90.869,7
87,BEA,British Grand Prix,2025,1,91.8595,0.970980947289904,90.921,8
55,SAI,British Grand Prix,2025,1,91.65014285714285,1.1738843538400534,90.645,7
31,OCO,British Grand Prix,2025,1,91.25942857142857,0.613081793657493,90.818,7
16,LEC,British Grand Prix,2025,1,91.37857142857145,0.36980483913494006,90.819,7
22,TSU,British Grand Prix,2025,1,91.7456,0.7621940697748818,90.873,5
81,PIA,Belgian Grand Prix,2025,1,106.60379999999999,0.6472566191507676,105.706,30
4,NOR,Belgian Grand Prix,2025,1,106.32627586206897,0.6412867587098238,105.257,29
16,LEC,Belgian Grand Prix,2025,1,106.75696666666667,0.44241722259714805,106.174,30
1,VER,Belgian Grand Prix,2025,1,106.76893333333334,0.48101687785524583,106.096,30
63,RUS,Belgian Grand Prix,2025,1,107.18686666666667,0.4165856896025223,106.566,30
23,ALB,Belgian Grand Prix,2025,1,107.3109,0.3878923019744455,106.813,30
44,HAM,Belgian Grand Prix,2025,1,107.37809677419355,0.6111186112280055,106.534,31
30,LAW,Belgian Grand Prix,2025,1,107.45706666666666,0.5996436259653901,106.649,30
5,BOR,Belgian Grand Prix,2025,1,107.53566666666666,0.48462437166241895,106.966,30
10,GAS,Belgian Grand Prix,2025,1,108.05566666666668,0.7651356577187108,107.177,30
87,BEA,Belgian Grand Prix,2025,1,107.82972413793105,0.5992627551864828,106.709,29
27,HUL,Belgian Grand Prix,2025,2,107.27434117647059,0.6074975768301887,105.068,27
22,TSU,Belgian Grand Prix,2025,1,107.95213793103449,0.5573467581918763,107.241,29
18,STR,Belgian Grand Prix,2025,1,107.98473333333335,0.6463248320355229,107.212,30
31,OCO,Belgian Grand Prix,2025,1,107.80662068965518,0.7072958773583222,106.744,29
12,ANT,Belgian Grand Prix,2025,2,107.70094166666667,0.6049248559299862,106.738,27
14,ALO,Belgian Grand Prix,2025,2,107.75850000000001,0.590810179352641,105.849,26
55,SAI,Belgian Grand Prix,2025,2,107.86708806818181,0.33599011319623534,106.073,27
43,COL,Belgian Grand Prix,2025,2,108.06350274725274,0.45002067404426027,106.44,27
6,HAD,Belgian Grand Prix,2025,2,109.22091071428571,0.38808446306546557,107.667,25
4,NOR,Hungarian Grand Prix,2025,2,81.35435328185326,0.3549189955996396,79.918,65
81,PIA,Hungarian Grand Prix,2025,3,81.25612894927536,0.6120650512402953,79.412,64
63,RUS,Hungarian Grand Prix,2025,3,81.56432028520499,0.62941197607378,79.611,64
16,LEC,Hungarian Grand Prix,2025,3,81.75240826330531,0.6854933905068833,80.44,64
14,ALO,Hungarian Grand Prix,2025,2,81.97024137931035,0.5743161294379755,80.113,65
5,BOR,Hungarian Grand Prix,2025,2,82.09467084942085,0.3353894122305487,80.705,65
18,STR,Hungarian Grand Prix,2025,2,82.204828125,0.31613815326117733,80.708,64
30,LAW,Hungarian Grand Prix,2025,2,82.06585119047618,0.2713134850258931,80.457,64
1,VER,Hungarian Grand Prix,2025,3,82.20321338259443,0.579626962628911,79.689,63
12,ANT,Hungarian Grand Prix,2025,2,82.82544757033249,0.6219653698298404,80.745,63
6,HAD,Hungarian Grand Prix,2025,2,82.63779310344827,0.5532139369316916,80.802,63
44,HAM,Hungarian Grand Prix,2025,2,82.2519147368421,0.7332327746380949,80.022,63
27,HUL,Hungarian Grand Prix,2025,3,82.9176247086247,0.6379823174039579,80.013,61
55,SAI,Hungarian Grand Prix,2025,3,82.6515265151515,0.6602635107710018,80.267,60
23,ALB,Hungarian Grand Prix,2025,3,82.91849689008309,0.6644988054452651,80.779,61
31,OCO,Hungarian Grand Prix,2025,2,83.28277307692306,0.49456277887580646,81.916,62
22,TSU,Hungarian Grand Prix,2025,3,82.81259852216748,0.5627576177039085,81.18,59
43,COL,Hungarian Grand Prix,2025,3,82.83049105829089,0.6613894350528758,81.256,60
10,GAS,Hungarian Grand Prix,2025,2,83.12098571428572,0.5246750348353882,81.433,63
87,BEA,Hungarian Grand Prix,2025,2,83.27461851851852,0.5051886634687892,81.989,42
