season,round,grand_prix,driver_number,driver,team,stint,compound,stint_len_laps,mean_lap_s,median_lap_s,p90_lap_s,start_lap,end_lap,degradation_s_per_lap
2024,1,Bahrain Grand Prix,81,PIA,McLaren,1.0,SOFT,10,98.0857,98.0285,98.3835,2.0,11.0,0.0009393939393996482
2024,1,Bahrain Grand Prix,81,PIA,McLaren,2.0,HARD,20,96.89815,96.88300000000001,97.17720000000001,14.0,33.0,0.0304127819548863
2024,1,Bahrain Grand Prix,81,PIA,McLaren,3.0,HARD,22,95.50631818181819,95.35849999999999,96.02,36.0,57.0,0.05748108413326085
2024,2,Saudi Arabian Grand Prix,1,VER,Red Bull Racing,1.0,MEDIUM,6,94.18966666666667,93.999,94.85499999999999,1.0,6.0,-0.2909714285714337
2024,2,Saudi Arabian Grand Prix,1,VER,Red Bull Racing,2.0,HARD,41,92.80824390243902,92.752,93.194,10.0,50.0,-0.029654529616724816
2024,2,Saudi Arabian Grand Prix,11,PER,Red Bull Racing,1.0,MEDIUM,6,94.6275,94.07,95.8685,1.0,6.0,-0.5199714285714336
2024,2,Saudi Arabian Grand Prix,11,PER,Red Bull Racing,2.0,HARD,41,93.00660975609756,92.795,93.859,10.0,50.0,-0.043413066202091025
2024,2,Saudi Arabian Grand Prix,14,ALO,Aston Martin,1.0,MEDIUM,5,94.78020000000001,94.512,95.3328,2.0,6.0,-0.24150000000000466
2024,2,Saudi Arabian Grand Prix,14,ALO,Aston Martin,2.0,HARD,41,93.64587804878049,93.58,94.695,10.0,50.0,-0.07788850174216014
2024,2,Saudi Arabian Grand Prix,16,LEC,Ferrari,1.0,MEDIUM,6,94.87466666666667,94.4655,95.947,1.0,6.0,-0.31177142857144086
2024,2,Saudi Arabian Grand Prix,16,LEC,Ferrari,2.0,HARD,41,93.23851219512196,93.136,94.142,10.0,50.0,-0.06311550522648046
2024,2,Saudi Arabian Grand Prix,18,STR,Aston Martin,1.0,MEDIUM,4,95.79475,95.7625,96.0028,2.0,5.0,-0.1656999999999876
2024,2,Saudi Arabian Grand Prix,2,SAR,Williams,1.0,MEDIUM,4,96.4555,96.374,96.77289999999999,3.0,6.0,-0.2343999999999971
2024,2,Saudi Arabian Grand Prix,2,SAR,Williams,2.0,HARD,39,95.06148717948719,95.215,96.2256,11.0,49.0,-0.06867024291497993
2024,2,Saudi Arabian Grand Prix,20,MAG,Haas F1 Team,1.0,MEDIUM,5,96.09,95.85,96.924,2.0,6.0,-0.31560000000000027
2024,2,Saudi Arabian Grand Prix,20,MAG,Haas F1 Team,2.0,HARD,40,94.712875,95.14099999999999,96.20039999999999,11.0,50.0,-0.09093705440900675
2024,2,Saudi Arabian Grand Prix,22,TSU,RB,1.0,MEDIUM,5,95.9636,95.703,96.63380000000001,2.0,6.0,-0.13100000000000106
2024,2,Saudi Arabian Grand Prix,22,TSU,RB,2.0,HARD,39,95.09905128205128,95.263,96.3376,11.0,49.0,-0.06870910931174261
2024,2,Saudi Arabian Grand Prix,23,ALB,Williams,1.0,MEDIUM,5,96.1318,95.977,96.9262,2.0,6.0,-0.3548000000000094
2024,2,Saudi Arabian Grand Prix,23,ALB,Williams,2.0,HARD,40,94.75002500000001,95.197,96.1726,11.0,50.0,-0.09655881801125567
2024,2,Saudi Arabian Grand Prix,24,ZHO,Kick Sauber,1.0,MEDIUM,35,95.26262857142858,95.145,96.4672,3.0,41.0,-0.06333491344061232
2024,2,Saudi Arabian Grand Prix,24,ZHO,Kick Sauber,2.0,SOFT,7,92.81771428571427,92.857,93.11099999999999,43.0,49.0,-0.07803571428571035
2024,2,Saudi Arabian Grand Prix,27,HUL,Haas F1 Team,1.0,MEDIUM,29,95.4061724137931,95.174,96.505,2.0,33.0,-0.0698729080835359
2024,2,Saudi Arabian Grand Prix,27,HUL,Haas F1 Team,2.0,HARD,16,92.78675,92.79599999999999,93.12950000000001,35.0,50.0,-0.045202941176474734
2024,2,Saudi Arabian Grand Prix,3,RIC,RB,1.0,MEDIUM,5,96.5236,96.271,97.5274,2.0,6.0,-0.5443000000000064
2024,2,Saudi Arabian Grand Prix,3,RIC,RB,2.0,HARD,38,95.18647368421053,95.501,96.288,11.0,49.0,-0.06928058531904539
2024,2,Saudi Arabian Grand Prix,31,OCO,Alpine,1.0,MEDIUM,4,96.49549999999999,96.5295,96.88340000000001,3.0,6.0,-0.06239999999999568
2024,2,Saudi Arabian Grand Prix,31,OCO,Alpine,2.0,HARD,39,95.02989743589744,95.218,96.2622,11.0,49.0,-0.0649103238866407
2024,2,Saudi Arabian Grand Prix,38,BEA,Ferrari,1.0,SOFT,5,96.058,95.645,96.8978,2.0,6.0,-0.2508000000000191
2024,2,Saudi Arabian Grand Prix,38,BEA,Ferrari,2.0,HARD,40,93.668525,93.4985,95.16470000000001,11.0,50.0,-0.08577682926829308
2024,2,Saudi Arabian Grand Prix,4,NOR,McLaren,1.0,MEDIUM,33,94.18272727272728,93.877,95.1206,2.0,37.0,-0.02983787415683252
2024,2,Saudi Arabian Grand Prix,4,NOR,McLaren,2.0,SOFT,12,92.27958333333333,92.20349999999999,92.4917,39.0,50.0,0.04936013986013815
2024,2,Saudi Arabian Grand Prix,44,HAM,Mercedes,1.0,MEDIUM,32,94.3438125,94.26599999999999,95.3507,2.0,36.0,-0.051469069980585945
2024,2,Saudi Arabian Grand Prix,44,HAM,Mercedes,2.0,SOFT,13,92.33284615384615,92.232,92.9518,38.0,50.0,0.06915934065934001
2024,2,Saudi Arabian Grand Prix,63,RUS,Mercedes,1.0,MEDIUM,5,95.1216,95.146,95.1914,2.0,6.0,-0.024100000000014058
2024,2,Saudi Arabian Grand Prix,63,RUS,Mercedes,2.0,HARD,41,93.73780487804878,93.631,94.907,10.0,50.0,-0.07122682926829202
2024,2,Saudi Arabian Grand Prix,77,BOT,Kick Sauber,1.0,SOFT,4,96.463,96.3305,96.8013,3.0,6.0,-0.2396000000000026
2024,2,Saudi Arabian Grand Prix,77,BOT,Kick Sauber,2.0,HARD,25,95.96428,95.792,96.8712,11.0,35.0,-0.016193846153846128
2024,2,Saudi Arabian Grand Prix,77,BOT,Kick Sauber,3.0,SOFT,13,93.15576923076924,92.996,93.1902,37.0,49.0,-0.01047252747252654
2024,2,Saudi Arabian Grand Prix,81,PIA,McLaren,1.0,MEDIUM,5,94.6032,94.557,94.8848,2.0,6.0,-0.1168000000000057
2024,2,Saudi Arabian Grand Prix,81,PIA,McLaren,2.0,HARD,41,93.56263414634147,93.405,94.448,10.0,50.0,-0.06669250871080144
2024,3,Australian Grand Prix,1,VER,Red Bull Racing,1.0,MEDIUM,2,83.607,83.607,84.0006,2.0,3.0,
2024,3,Australian Grand Prix,10,GAS,Alpine,1.0,MEDIUM,15,84.21926666666667,84.049,85.0798,2.0,16.0,0.04518571428571775
2024,3,Australian Grand Prix,10,GAS,Alpine,2.0,HARD,22,83.26286363636363,83.02600000000001,83.896,19.0,40.0,0.029664031620555587
2024,3,Australian Grand Prix,10,GAS,Alpine,3.0,HARD,13,81.71146153846153,81.324,82.843,43.0,55.0,-0.07457692307692207
2024,3,Australian Grand Prix,11,PER,Red Bull Racing,1.0,MEDIUM,12,83.17691666666667,83.10650000000001,83.6374,2.0,13.0,0.004500000000000884
